,Unnamed: 0_x,년도,순위,영화명,국적,개봉전상영횟수,천만감독유무,천만배우수,원작유무,시리즈유무,블로그리뷰수,유튜브예고편수,예고편조회수,특별상영관유무,개봉특수시기,티켓값,코로나확진자수,음식물제한,음료제한,시간제한,미접종자제한,주연배우팔로워수평균,인기장르,비인기장르,12세관람가,15세관람가,청소년관람불가,관객수,거리좌석합침
0,0,2022,1,범죄도시 2,1,1775,0,0,0,1,2291,11,13800712,1,0,8493,34558,0,0,0,0,1087925,1,0,0,1,0,12693219,0
1,1,2022,5,닥터 스트레인지: 대혼돈의 멀티버스,0,2,0,0,1,1,322,3,5073889,1,0,10179,62498,1,0,0,0,42489,0,0,1,0,0,5884595,3
2,2,2022,7,쥬라기 월드: 도미니언,0,1,0,0,0,1,715,10,52817879,1,0,10604,19522,0,0,0,0,21059500,0,0,1,0,0,2837410,0
3,3,2022,8,마녀(魔女) Part2. The Other One,1,18,0,0,0,1,1657,5,5379736,0,0,9632,9676,0,0,0,0,1135813,0,0,0,1,0,2806501,0
4,4,2022,9,토르: 러브 앤 썬더,0,3,0,1,1,1,1464,14,114873324,1,0,9883,8905,0,0,0,0,32191391,0,0,1,0,0,2716306,0
5,5,2022,10,미니언즈2,0,4,0,0,0,1,1665,14,4924333,1,0,9851,31962,0,0,0,0,19953597,0,1,0,0,0,2267742,0
6,6,2022,11,비상선언,1,112,0,2,0,0,2828,7,5009777,1,1,9896,76482,0,0,0,0,494321,0,0,1,0,0,2058762,0
7,7,2022,15,외계+인 1부,1,31,1,0,0,1,624,6,4957044,1,0,7715,31962,0,0,0,0,3200038,0,0,1,0,0,1538508,0
8,8,2022,16,해적: 도깨비 깃발,1,124,0,1,0,1,769,8,2397417,1,1,9566,5676,1,0,1,1,4523994,1,0,1,0,0,1339242,8
9,9,2022,17,브로커,1,27,0,1,0,0,3671,7,2230954,0,0,10176,12924,0,0,0,0,963833,0,0,1,0,0,1260884,0
10,10,2022,18,신비한 동물들과 덤블도어의 비밀,0,4,0,0,0,1,588,8,4407554,1,0,10094,234649,1,0,1,0,0,0,1,1,0,0,1195443,5
11,11,2022,19,더 배트맨,0,50,0,0,1,1,1558,11,131493513,1,0,8592,123508,1,0,1,0,0,0,0,0,1,0,904238,7
12,12,2022,20,씽2게더,0,3,0,1,0,1,290,10,8818273,1,1,7919,4973,1,0,1,1,28488197,0,1,0,0,0,883973,9
13,13,2022,23,킹메이커,1,91,0,2,0,0,671,16,1417856,0,1,9291,5676,1,0,1,1,0,0,0,0,1,0,775968,8
14,14,2022,24,언차티드,0,1,0,0,1,1,394,13,4829471,1,1,9127,42727,1,0,1,0,44027312,0,0,1,0,0,730924,7
15,15,2022,25,경관의 피,1,30,0,1,1,0,461,8,988630,0,1,9569,4973,1,0,1,1,6946116,1,0,0,1,0,679503,9
16,16,2022,27,극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,0,0,0,0,1,1,187,5,237885,0,0,9483,19522,0,0,0,0,0,0,1,0,0,0,581223,0
17,17,2022,28,이상한 나라의 수학자,1,119,0,1,0,0,514,6,1583233,0,0,8886,193701,1,0,1,0,4768,0,0,1,0,0,534250,6
18,18,2022,31,모비우스,0,1,0,0,1,1,372,10,27748567,0,0,9978,365812,1,0,1,0,5909648,0,0,0,1,0,475928,6
19,19,2022,33,뽀로로 극장판 드래곤캐슬 대모험,1,8,0,0,1,1,140,9,1028308,0,0,8831,60336,0,0,0,0,132,0,1,0,0,0,447571,0
20,20,2022,34,특송,1,43,0,0,0,0,622,11,688101,0,1,5262,3925,1,0,1,1,68183,1,0,0,1,0,443177,9
21,21,2022,35,니 부모 얼굴이 보고 싶다,1,35,0,2,0,0,535,5,2731550,0,0,10864,98191,1,0,1,0,596528,0,0,0,1,0,416375,4
22,22,2022,36,놉,0,3,0,0,0,0,1239,11,35141912,1,1,9410,112103,0,0,0,0,5212104,0,1,1,0,0,415243,0
23,23,2022,38,배드 가이즈,0,905,0,0,1,0,278,10,58221298,0,0,8554,62498,1,0,0,0,364767,0,1,0,0,0,400053,3
24,24,2022,39,뜨거운 피,1,9,0,0,1,0,664,3,68484,0,0,9027,361867,1,0,1,0,2834,1,0,0,1,0,398090,6
25,25,2022,40,버즈 라이트이어,0,3,0,1,0,1,663,3,534633,1,0,10285,9676,0,0,0,0,10523130,0,1,0,0,0,344689,0
26,26,2022,41,그대가 조국,1,20,0,0,0,0,270,3,105763,0,0,8475,27090,0,0,0,0,0,0,1,1,0,0,333633,0
